CÓDIGO DEPARTAMENTO,DEPARTAMENTO,PROVINCIA,CÓDIGO MUNICIPIO,MUNICIPIO,CODIGO DANE INSTITUCION EDUCATIVA,NOMBRE INSTITUCION EDUCATIVA,CODIGO DANE SEDE,NOMBRE SEDE EDUCATIVA,ZONA,LATITUD,LONGITUD,FECHA DE CORTE
15,BOYACÁ,CENTRO,15232,CHÍQUIZA,215232000135,I.E. TECNICA SAN PEDRO DE IGUAQUE,215232000186,ESC RONDON,RURAL,5.650833,-73.483056,"Tuesday, April 16, 2024"
15,BOYACÁ,CENTRO,15232,CHÍQUIZA,215232000020,I.E. TECNICA EL CERRO,215232000054,ESC RURAL RILKA,RURAL,5.633628,-73.424551,"Tuesday, April 16, 2024"
15,BOYACÁ,CENTRO,15232,CHÍQUIZA,215232000020,I.E. TECNICA EL CERRO,215232000101,ESC VERGARA,RURAL,5.684999216,-73.38408994,"Tuesday, April 16, 2024"
15,BOYACÁ,CENTRO,15232,CHÍQUIZA,215232000135,I.E. TECNICA SAN PEDRO DE IGUAQUE,215232000143,ESC VILLA ROSITA,RURAL,5.58495564,-73.49445696,"Tuesday, April 16, 2024"
15,BOYACÁ,GUTIÉRREZ,15180,CHISCAS,215180000174,I.E. JAIME RUIZ CARRILLO,215180000212,ESC EL LIMON,RURAL,6.516457346,-72.52621045,"Tuesday, April 16, 2024"
15,BOYACÁ,GUTIÉRREZ,15180,CHISCAS,215180000034,I.E. LAS MERCEDES,215180000077,ESC LA MESETA,RURAL,6.551389,-72.446944,"Tuesday, April 16, 2024"
15,BOYACÁ,GUTIÉRREZ,15180,CHISCAS,215180000051,I.E. LAS CAÑAS,215180000361,ESC LA PERLA,RURAL,6.573923,-72.491416,"Tuesday, April 16, 2024"
15,BOYACÁ,GUTIÉRREZ,15180,CHISCAS,215180000051,I.E. LAS CAÑAS,215180000085,ESC RINCONCITOS,RURAL,6.613333,-72.474167,"Tuesday, April 16, 2024"
15,BOYACÁ,GUTIÉRREZ,15180,CHISCAS,215180000174,I.E. JAIME RUIZ CARRILLO,215180000174,I.E. JAIME RUIZ CARRILLO - SEDE PRINCIPAL,RURAL,6.537858432,-72.52888582,"Tuesday, April 16, 2024"
15,BOYACÁ,GUTIÉRREZ,15180,CHISCAS,215180000051,I.E. LAS CAÑAS,215180000051,I.E. LAS CAÑAS - SEDE PRINCIPAL  ,RURAL,6.603333,-72.484167,"Tuesday, April 16, 2024"
15,BOYACÁ,GUTIÉRREZ,15180,CHISCAS,215180000034,I.E. LAS MERCEDES,215180000034,I.E. LAS MERCEDES - SEDE PRINCIPAL,RURAL,6.576048781,-72.46910186,"Tuesday, April 16, 2024"
15,BOYACÁ,VALDERRAMA,15183,CHITA,115183000391,I.E. JOSE MARIA POTIER,215183000230,SEDE CHIPA BETEL,RURAL,6.176715803,-72.49498527,"Tuesday, April 16, 2024"
15,BOYACÁ,VALDERRAMA,15183,CHITA,115183000391,I.E. JOSE MARIA POTIER,215183000281,SEDE DIMIZA,RURAL,6.175772,-72.487152,"Tuesday, April 16, 2024"
15,BOYACÁ,VALDERRAMA,15183,CHITA,115183000391,I.E. JOSE MARIA POTIER,215183000647,SEDE EL HELECHAL,RURAL,6.169167,-72.494167,"Tuesday, April 16, 2024"
15,BOYACÁ,VALDERRAMA,15183,CHITA,115183000391,I.E. JOSE MARIA POTIER,215183000132,SEDE EL MORTIÑAL,RURAL,6.151389,-72.427222,"Tuesday, April 16, 2024"
15,BOYACÁ,VALDERRAMA,15183,CHITA,215183000337,I.E. JESUS EMILIO JARAMILLO MONSALVE,215183000167,SEDE EL RESGUARDO,RURAL,6.16333,-72.48606,"Tuesday, April 16, 2024"
15,BOYACÁ,VALDERRAMA,15183,CHITA,115183000391,I.E. JOSE MARIA POTIER,215183000485,SEDE LA FLORESTA,RURAL,5.92,-72.389167,"Tuesday, April 16, 2024"
15,BOYACÁ,VALDERRAMA,15183,CHITA,115183000391,I.E. JOSE MARIA POTIER,215183000566,SEDE LA FLORESTA UNO,RURAL,5.939722,-72.4275,"Tuesday, April 16, 2024"
15,BOYACÁ,VALDERRAMA,15183,CHITA,115183000391,I.E. JOSE MARIA POTIER,215183000434,SEDE PARROQUITA,RURAL,6.189945606,-72.47061959,"Tuesday, April 16, 2024"
15,BOYACÁ,VALDERRAMA,15183,CHITA,115183000391,I.E. JOSE MARIA POTIER,215183000302,SEDE QUICHOVA,RURAL,6.241437142,-72.49745991,"Tuesday, April 16, 2024"
15,BOYACÁ,VALDERRAMA,15183,CHITA,115183000391,I.E. JOSE MARIA POTIER,215183000272,SEDE VICHACUCA,RURAL,6.169716,-72.480152,"Tuesday, April 16, 2024"
15,BOYACÁ,VALDERRAMA,15183,CHITA,115183000022,I.E. NORMAL SUPERIOR SAGRADO CORAZON,215183000493,ESC BUENAVISTA,RURAL,6.201842911,-72.46700281,"Tuesday, April 16, 2024"
15,BOYACÁ,VALDERRAMA,15183,CHITA,115183000022,I.E. NORMAL SUPERIOR SAGRADO CORAZON,215183000388,ESC CANOAS,RURAL,6.148611,-72.480556,"Tuesday, April 16, 2024"
15,BOYACÁ,VALDERRAMA,15183,CHITA,115183000022,I.E. NORMAL SUPERIOR SAGRADO CORAZON,215183000175,ESC LA CALDERA,RURAL,6.157222,-72.472222,"Tuesday, April 16, 2024"
15,BOYACÁ,VALDERRAMA,15183,CHITA,115183000022,I.E. NORMAL SUPERIOR SAGRADO CORAZON,215183000213,ESC LA FERREIRA,RURAL,6.2075,-72.5225,"Tuesday, April 16, 2024"
15,BOYACÁ,VALDERRAMA,15183,CHITA,115183000022,I.E. NORMAL SUPERIOR SAGRADO CORAZON,215183000329,ESC LA PLAYA,RURAL,6.186389,-72.4725,"Tuesday, April 16, 2024"
15,BOYACÁ,VALDERRAMA,15183,CHITA,115183000022,I.E. NORMAL SUPERIOR SAGRADO CORAZON,215183000612,ESC PALONEGRO,RURAL,5.9475,-72.432778,"Tuesday, April 16, 2024"
15,BOYACÁ,VALDERRAMA,15183,CHITA,215183000060,I.E. EL MORAL,215183000060,I.E. EL MORAL - SEDE PRINCIPAL,RURAL,5.954448251,-72.37046283,"Tuesday, April 16, 2024"
15,BOYACÁ,VALDERRAMA,15183,CHITA,215183000060,I.E. EL MORAL,215183000582,SEDE  LA CHORRERA,RURAL,6.151111,-72.481667,"Tuesday, April 16, 2024"
15,BOYACÁ,VALDERRAMA,15183,CHITA,215183000060,I.E. EL MORAL,215183000558,SEDE EL PUERTO,RURAL,6.07011355,-72.51632934,"Tuesday, April 16, 2024"
15,BOYACÁ,RICAURTE,15185,CHITARAQUE,315185000169,I.E. SAN PEDRO CLAVER,215185000041,ESC CAPITA Y VILLABONA,RURAL,6.039222728,-73.407548,"Tuesday, April 16, 2024"
15,BOYACÁ,RICAURTE,15185,CHITARAQUE,315185000169,I.E. SAN PEDRO CLAVER,215185000067,ESC GUAMOS Y LADERAS,RURAL,5.996926,-73.400178,"Tuesday, April 16, 2024"
15,BOYACÁ,RICAURTE,15185,CHITARAQUE,315185000169,I.E. SAN PEDRO CLAVER,215185000075,ESC MOTAVITA,RURAL,5.971872646,-73.43128008,"Tuesday, April 16, 2024"
15,BOYACÁ,RICAURTE,15185,CHITARAQUE,315185000169,I.E. SAN PEDRO CLAVER,215185000083,ESC PALMICHAL,RURAL,6.005388,-73.43391,"Tuesday, April 16, 2024"
15,BOYACÁ,RICAURTE,15185,CHITARAQUE,315185000169,I.E. SAN PEDRO CLAVER,215185000113,ESC SANTO DOMINGO,RURAL,5.970482,-73.45754,"Tuesday, April 16, 2024"
